n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean_cv_auc,std_cv_auc
150,2,0.07,1.0,0.8,0.8026861706610038,0.01695669610678293
200,2,0.05,1.0,0.8,0.8018358729817642,0.01841438608379825
150,2,0.07,0.9,0.8,0.800392981890653,0.008841791115001213
200,2,0.07,1.0,0.8,0.8002491720598645,0.016608623265173
200,2,0.03,0.9,0.9,0.8001910003117942,0.018296735202958585
150,3,0.07,0.9,0.8,0.8001732248794958,0.01189549064110444
200,2,0.03,0.9,0.8,0.8000721550881451,0.01955627949395816
200,2,0.05,1.0,0.9,0.7997324994943877,0.01995481448771849
150,2,0.05,1.0,0.8,0.7993171863939731,0.02078291005867976
150,2,0.07,1.0,0.9,0.7990735708025752,0.018689437249350082
150,2,0.05,1.0,0.9,0.7990443664256581,0.020511104792581534
200,3,0.07,0.9,0.8,0.7987335992011326,0.014285717033813481
150,2,0.05,0.9,0.9,0.7982459203407827,0.014447315833069189
200,2,0.05,0.9,0.9,0.7977572934573769,0.013171000558383548
200,3,0.05,0.9,0.9,0.7975919687700138,0.01967396515441043
200,2,0.05,0.9,0.8,0.7975514144503995,0.016478305800924176
150,2,0.07,0.9,0.9,0.7971907180115954,0.01648434206034139
200,2,0.07,1.0,0.9,0.7971826861495938,0.013430637163118793
150,3,0.05,0.9,0.9,0.7969897897916878,0.015213275116079387
150,2,0.05,0.9,0.8,0.7969315390416962,0.016898645279772164
200,2,0.07,0.9,0.9,0.7968250971196953,0.01739987245376632
200,2,0.07,0.9,0.8,0.796553014502646,0.009856452831982266
150,3,0.07,0.9,0.9,0.795522065763306,0.015277370364988278
200,2,0.03,1.0,0.9,0.7952985429938988,0.02276532487720674
150,2,0.03,0.9,0.8,0.7947717055145449,0.018584431814604157
200,3,0.03,0.9,0.9,0.7936706030690667,0.015629897398574642
200,4,0.03,0.9,0.9,0.7935481764249841,0.020511539311860047
200,3,0.03,0.9,0.8,0.7928217800923586,0.014170515659158507
200,3,0.07,0.9,0.9,0.7926870291485489,0.017450902477906143
200,2,0.03,1.0,0.8,0.7925213094515792,0.02219009969467404
150,3,0.05,0.9,0.8,0.7924220040364716,0.010908671340095278
200,3,0.03,1.0,0.9,0.792247936469815,0.021884513706187166
150,3,0.05,1.0,0.9,0.7920849818400917,0.01702371245536242
200,3,0.05,0.9,0.8,0.7918934021808743,0.010879547058120852
150,3,0.03,0.9,0.8,0.7917504087032731,0.016521276543398907
150,3,0.07,1.0,0.8,0.791663216916102,0.014963502295707516
150,3,0.07,1.0,0.9,0.7914801957983618,0.02235699186260758
150,2,0.03,0.9,0.9,0.7910910059999325,0.01909592266813386
200,3,0.07,1.0,0.8,0.7910899789749553,0.01775104749330147
200,3,0.03,1.0,0.8,0.7907309152425254,0.022050346098542617
150,4,0.03,0.9,0.9,0.7906984717868338,0.022393335213960204
150,3,0.03,1.0,0.9,0.790393603372434,0.026398476186716133
150,3,0.03,0.9,0.9,0.7903705611453804,0.0180858595792397
150,3,0.05,1.0,0.8,0.7897366760626284,0.01699109143364046
150,4,0.07,0.9,0.9,0.789681954065123,0.015297648474976434
200,3,0.05,1.0,0.9,0.7896635729514275,0.019277131524553372
150,4,0.05,0.9,0.9,0.7894526378214851,0.01801728659137417
200,3,0.05,1.0,0.8,0.7892449417703171,0.01615859963177734
200,3,0.07,1.0,0.9,0.7882751931860316,0.01883655644939974
150,4,0.05,0.9,0.8,0.78773044860451,0.019136332536794178
150,4,0.05,1.0,0.9,0.787630721845822,0.03089450868610194
200,4,0.05,1.0,0.8,0.7861782188542825,0.024740272942353
200,4,0.03,0.9,0.8,0.7861153069909328,0.01458124839317337
200,4,0.05,0.9,0.9,0.785977764645903,0.023335470850465695
200,4,0.05,0.9,0.8,0.7859599892136044,0.01849234846373118
150,4,0.05,1.0,0.8,0.7851789762193683,0.024950304334518326
200,4,0.05,1.0,0.9,0.7851305480415951,0.028449827115506452
200,4,0.03,1.0,0.8,0.7844219271412681,0.02876118152669064
150,4,0.03,1.0,0.8,0.7843791607678565,0.02843436935409896
150,2,0.03,1.0,0.9,0.7841467634492871,0.023407834440684342
150,3,0.03,1.0,0.8,0.7840824558853272,0.025271727733200973
200,4,0.03,1.0,0.9,0.7839048332322109,0.029941090448418344
150,2,0.03,1.0,0.8,0.7834288203222435,0.025591071981439638
200,4,0.07,0.9,0.9,0.7825608788805745,0.017775254967068367
150,4,0.03,0.9,0.8,0.7810416455994876,0.015731050941110346
150,4,0.03,1.0,0.9,0.7800704223126707,0.030802102995281994
150,4,0.07,1.0,0.8,0.7780619301328076,0.030621019593971722
150,4,0.07,0.9,0.8,0.7775337759547645,0.009813703380745184
150,4,0.07,1.0,0.9,0.7756808122240199,0.023348493517943797
200,4,0.07,0.9,0.8,0.7748706211868405,0.01195491820398245
200,4,0.07,1.0,0.8,0.7742914054336467,0.030106857111631993
200,4,0.07,1.0,0.9,0.7704173355496006,0.02744919518021272
